時間,設備,值
2024-10-26 09:48:46,SA-54/LED_LEVEL,5
2024-10-26 09:48:48,SA-54/TEMPERATURE,31.26
2024-10-26 09:48:48,SA-54/LIGHT_LEVEL,0
2024-10-26 09:48:52,SA-54/LIGHT_LEVEL,1
2024-10-26 09:48:53,SA-54/LED_LEVEL,4
2024-10-26 09:48:53,SA-54/LED_LEVEL,3
2024-10-26 09:48:54,SA-54/TEMPERATURE,30.79
2024-10-26 09:48:54,SA-54/LED_LEVEL,2
2024-10-26 09:48:55,SA-54/LED_LEVEL,1
2024-10-26 09:48:57,SA-54/LED_LEVEL,2
2024-10-26 09:48:57,SA-54/LED_LEVEL,4
2024-10-26 09:48:57,SA-54/LED_LEVEL,5
2024-10-26 09:49:00,SA-54/TEMPERATURE,31.26
2024-10-26 09:49:00,SA-54/LIGHT_LEVEL,0
2024-10-26 09:49:06,SA-54/TEMPERATURE,30.79
2024-10-26 09:49:08,SA-54/TEMPERATURE,31.26
2024-10-26 09:49:18,SA-54/TEMPERATURE,30.79
2024-10-26 09:49:20,SA-54/TEMPERATURE,31.26
2024-10-26 09:49:20,SA-54/LIGHT_LEVEL,1
2024-10-26 09:49:30,SA-54/TEMPERATURE,30.79
2024-10-26 09:49:32,SA-54/TEMPERATURE,31.26
2024-10-26 09:49:36,SA-54/LIGHT_LEVEL,0
2024-10-26 09:49:38,SA-54/TEMPERATURE,30.79
2024-10-26 09:49:42,SA-54/TEMPERATURE,31.26
2024-10-26 09:50:00,SA-54/LIGHT_LEVEL,1
2024-10-26 09:50:10,SA-54/LIGHT_LEVEL,0
2024-10-26 09:50:24,SA-54/TEMPERATURE,30.79
2024-10-26 09:50:26,SA-54/TEMPERATURE,31.26
2024-10-26 09:50:30,SA-54/LIGHT_LEVEL,1
2024-10-26 09:50:36,SA-54/LIGHT_LEVEL,0
2024-10-26 09:50:38,SA-54/TEMPERATURE,30.79
2024-10-26 09:50:40,SA-54/TEMPERATURE,31.26
