時間,設備,值
2024-10-19 11:20:42,SA-54/LED_LEVEL,6
2024-10-19 11:56:38,SA-01/LED_LEVEL,4
2024-10-19 11:58:03,SA-54/LED_LEVEL,2
2024-10-19 11:58:05,SA-54/LED_LEVEL,3
2024-10-19 11:58:06,SA-54/LED_LEVEL,5
2024-10-19 11:58:06,SA-54/LED_LEVEL,7
2024-10-19 11:58:07,SA-54/LED_LEVEL,8
2024-10-19 11:58:08,SA-54/LED_LEVEL,7
2024-10-19 11:58:09,SA-54/LED_LEVEL,6
2024-10-19 11:58:09,SA-54/LED_LEVEL,4
2024-10-19 11:58:10,SA-54/LED_LEVEL,3
2024-10-19 14:00:46,SA-54/LED_LEVEL,3
2024-10-19 14:01:49,SA-54/LED_LEVEL,0
2024-10-19 14:01:51,SA-54/LED_LEVEL,1
2024-10-19 14:01:52,SA-54/LED_LEVEL,3
2024-10-19 14:01:52,SA-54/LED_LEVEL,5
2024-10-19 14:01:53,SA-54/LED_LEVEL,6
2024-10-19 14:01:53,SA-54/LED_LEVEL,7
2024-10-19 14:01:54,SA-54/LED_LEVEL,6
2024-10-19 14:01:55,SA-54/LED_LEVEL,5
2024-10-19 14:02:44,SA-54/LED_LEVEL,5
2024-10-19 14:28:25,SA-54/LED_LEVEL,5
2024-10-19 14:28:26,SA-54/TEMPERATURE,31.73
2024-10-19 14:28:37,SA-54/LED_LEVEL,3
2024-10-19 14:28:37,SA-54/LED_LEVEL,1
2024-10-19 14:28:38,SA-54/TEMPERATURE,31.26
2024-10-19 14:28:41,SA-54/LED_LEVEL,5
2024-10-19 14:28:41,SA-54/LED_LEVEL,7
2024-10-19 14:28:41,SA-54/LED_LEVEL,4
2024-10-19 14:28:41,SA-54/TEMPERATURE,31.73
2024-10-19 14:28:42,SA-54/TEMPERATURE,31.26
2024-10-19 14:28:44,SA-54/TEMPERATURE,31.73
2024-10-19 14:28:56,SA-54/TEMPERATURE,31.26
2024-10-19 14:28:58,SA-54/TEMPERATURE,31.73
2024-10-19 14:29:00,SA-54/TEMPERATURE,31.26
2024-10-19 14:29:02,SA-54/TEMPERATURE,31.73
2024-10-19 14:29:14,SA-54/TEMPERATURE,31.26
2024-10-19 14:29:16,SA-54/TEMPERATURE,31.73
2024-10-19 14:29:26,SA-54/TEMPERATURE,31.26
2024-10-19 14:29:28,SA-54/TEMPERATURE,31.73
2024-10-19 14:30:04,SA-54/TEMPERATURE,31.26
2024-10-19 14:30:06,SA-54/TEMPERATURE,31.73
2024-10-19 14:30:24,SA-54/TEMPERATURE,31.26
2024-10-19 14:30:26,SA-54/TEMPERATURE,31.73
2024-10-19 14:30:33,SA-54/LED_LEVEL,4
2024-10-19 14:30:34,SA-54/TEMPERATURE,31.73
2024-10-19 14:30:37,SA-54/LED_LEVEL,2
2024-10-19 14:30:39,SA-54/LED_LEVEL,1
2024-10-19 14:30:39,SA-54/LED_LEVEL,0
2024-10-19 14:30:41,SA-54/LED_LEVEL,1
2024-10-19 14:30:41,SA-54/LED_LEVEL,3
2024-10-19 14:31:06,SA-54/TEMPERATURE,31.26
2024-10-19 14:31:08,SA-54/TEMPERATURE,31.73
2024-10-19 14:31:14,SA-54/TEMPERATURE,31.26
2024-10-19 14:31:16,SA-54/TEMPERATURE,31.73
